owi,ISBN-13,Title,Authors,Publisher,Year,Language,oclc,lcc,ddc,fast
5453582619,,,,,,,,,,
3770153674,,,,,,,,,,
3810426007,9780439554893,Harry Potter And The Chamber Of Secrets,"['J. K. Rowling', 'Mary GrandPre']",Arthur a Levine,2003,en,40043650,PR6068.O93,823.914,"{'1219920': 'England', '1729962': 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', '1073565': 'Potter, Harry (Fictitious character)', '1176452': 'Wizards', '1005468': 'Magic', '1107958': 'Schools', '1764402': 'Granger, Hermione (Fictitious character)', '1764403': 'Weasley, Ron (Fictitious character)'}"
3770153674,,,,,,,,,,
,9780439682589,"Harry Potter - 5 Years Of Magic, Adventure, And Mystery At Hogwarts",['J. K. Rowling'],Scholastic,2004,en,,,,
5395163096,9780976540601,Unauthorized Harry Potter And The Deathly Hallows News - Harry Potter Book Seven And Half-Blood Prince Analysis,['W. Frederick Zimmerman'],Nimble Books,2005,en,64099412,PR6068.O93,823.914,"{'1005497': 'Magic in literature', '1073565': 'Potter, Harry (Fictitious character)', '1176454': 'Wizards in literature', '401675': 'Rowling, J. K', '856704': ""Children's stories, English"", '920756': 'Fantasy fiction, English', '1783718': 'Harry Potter and the Half-Blood Prince (Rowling, J.K.)'}"
298916,9780439827607,Harry Potter And The Prisoner Of Azkaban,['J. K. Rowling'],,1999,en,,,,
48525129,9780517226957,The Ultimate Hitchhiker's Guide - Five Complete Novels And One Story,['Douglas Adams'],Gramercy,2005,en,,,,
48525129,9780345453747,The Ultimate Hitchhiker's Guide To The Galaxy,['Douglas Adams'],Ballantine Books,2002,en,,,,
48268563,9781400052929,The Hitchhiker's Guide To The Galaxy,['Douglas Adams'],Harmony,2004,en,,,,
48268563,,,,,,,,,,
48525129,9780517149256,The Ultimate Hitchhiker's Guide,['Douglas Adams'],Wings,1996,en,49710059,PR6051.D3352,823.914,"{'963836': 'Humorous stories, English', '1108670': 'Science fiction, English', '1075077': 'Prefect, Ford', '890366': 'Dent, Arthur (Fictitious character)', '977455': 'Interplanetary voyages', '977550': 'Interstellar travel'}"
179107,9780767908184,A Short History Of Nearly Everything,['Bill Bryson'],Broadway,2004,en,,,,
1048027,9780767915069,Bill Bryson's African Diary,['Bill Bryson'],Broadway,2002,en,51074454,DT433.527,916.7620442,"{'1155558': 'Travel', '1208718': 'Kenya', '60089': 'Bryson, Bill', '727760': 'CARE/International', '1169308': 'Voyages and travels'}"
